"id","org_flow_in", "person_flow_in", "price_chg"
3155,"-1716.02","-1118.12","(-1.39\\%)"
3156,"-3271.11","-1053.15","(-3.62\\%)"
3157,"-4563.08","-2778.37","(-7.46\\%)"
3158,"-2655.78","-358.37","(-2.01\\%)"
3159,"29114.35","183.81","(+4.03\\%)"
3160,"75.35","-320.52","(0.00\\%)"
3161,"-550.48","-867.71","(-3.41\\%)"
3162,"1064.54","-1026.21","(-3.31\\%)"
3163,"-6124.10","-3398.59","(-9.89\\%)"
3164,"-167.63","-509.62","(-1.52\\%)"
3165,"-145.51","-282.49","(-1.10\\%)"
3166,"0.00","0.00","(0.00\\%)"
3167,"-32.47","-791.84","(-2.27\\%)"
3168,"0.00","0.00","(0.00\\%)"
3169,"0.00","0.00","(0.00\\%)"
3170,"-1406.47","-584.45","(+0.11\\%)"
3171,"-129.30","-121.17","(-0.45\\%)"
3172,"366.25","-716.33","(+1.80\\%)"
3173,"-732.40","-649.63","(-0.89\\%)"
3174,"1321.52","-344.85","(+4.24\\%)"
3175,"1058.47","-871.56","(+5.04\\%)"
3176,"-1117.50","-1252.13","(-1.95\\%)"
3177,"431.06","-344.40","(-0.28\\%)"
3178,"-313.96","-1221.10","(-2.01\\%)"
3179,"-632.87","-486.62","(-0.79\\%)"
3180,"-108.49","-798.92","(-0.72\\%)"
3181,"-1184.29","-818.47","(-1.71\\%)"
3182,"1444.75","-745.31","(+0.52\\%)"
3183,"-11322.26","-2210.86","(-6.24\\%)"
3184,"-3271.11","-1053.15","(-3.62\\%)"
3185,"71.29","-232.83","(-0.43\\%)"
3186,"-2655.78","-358.37","(-2.01\\%)"
3187,"-550.48","-867.71","(-3.41\\%)"
3188,"-1374.17","-1713.11","(-5.16\\%)"
3189,"-167.63","-509.62","(-1.52\\%)"
3190,"0.00","0.00","(0.00\\%)"
3191,"-32.47","-791.84","(-2.27\\%)"
3192,"4188.84","23.18","(+1.50\\%)"
3193,"0.00","0.00","(0.00\\%)"
3194,"-1406.47","-584.45","(+0.11\\%)"
3195,"-129.30","-121.17","(-0.45\\%)"
3196,"3375.02","-249.13","(+0.45\\%)"
3197,"366.25","-716.33","(+1.80\\%)"
3198,"1321.52","-344.85","(+4.24\\%)"
3199,"1058.47","-871.56","(+5.04\\%)"
3200,"-1117.50","-1252.13","(-1.95\\%)"
3201,"-633.76","-405.85","(+0.94\\%)"
3202,"-313.96","-1221.10","(-2.01\\%)"
3203,"-632.87","-486.62","(-0.79\\%)"
3204,"-108.49","-798.92","(-0.72\\%)"
3205,"760.16","-1165.91","(+0.75\\%)"
3206,"1444.75","-745.31","(+0.52\\%)"
3207,"-11322.26","-2210.86","(-6.24\\%)"
3208,"-3271.11","-1053.15","(-3.62\\%)"
3209,"-3647.42","-105.26","(-1.23\\%)"
3210,"-2655.78","-358.37","(-2.01\\%)"
3211,"-550.48","-867.71","(-3.41\\%)"
3212,"-8483.84","-1565.64","(-7.73\\%)"
3213,"-167.63","-509.62","(-1.52\\%)"
3214,"0.00","0.00","(0.00\\%)"
3215,"-32.47","-791.84","(-2.27\\%)"
3216,"-666.74","-867.19","(-1.45\\%)"
3217,"0.00","0.00","(0.00\\%)"
3218,"-1406.47","-584.45","(+0.11\\%)"
3219,"-129.30","-121.17","(-0.45\\%)"
3220,"-1493.82","-338.42","(-0.77\\%)"
3221,"366.25","-716.33","(+1.80\\%)"
3222,"1321.52","-344.85","(+4.24\\%)"
3223,"1058.47","-871.56","(+5.04\\%)"
3224,"-1117.50","-1252.13","(-1.95\\%)"
3225,"-2453.70","-515.28","(+0.27\\%)"
3226,"-313.96","-1221.10","(-2.01\\%)"
3227,"-632.87","-486.62","(-0.79\\%)"
3228,"-108.49","-798.92","(-0.72\\%)"
3229,"0.89","-333.00","(-0.21\\%)"
3230,"1444.75","-745.31","(+0.52\\%)"
3231,"-11322.26","-2210.86","(-6.24\\%)"
3232,"-3271.11","-1053.15","(-3.62\\%)"
3233,"-2580.56","-406.74","(-0.18\\%)"
3234,"-2655.78","-358.37","(-2.01\\%)"
3235,"-550.48","-867.71","(-3.41\\%)"
3236,"2295.55","48.59","(-1.63\\%)"
3237,"-167.63","-509.62","(-1.52\\%)"
3238,"0.00","0.00","(0.00\\%)"
3239,"-32.47","-791.84","(-2.27\\%)"
3240,"-178.97","-313.64","(-0.42\\%)"
3241,"0.00","0.00","(0.00\\%)"
3242,"-1406.47","-584.45","(+0.11\\%)"
3243,"-2880.17","-1953.01","(-5.89\\%)"
3244,"-129.30","-121.17","(-0.45\\%)"
3245,"366.25","-716.33","(+1.80\\%)"
3246,"1321.52","-344.85","(+4.24\\%)"
3247,"-369.38","-198.89","(-1.60\\%)"
3248,"1058.47","-871.56","(+5.04\\%)"
3249,"-1117.50","-1252.13","(-1.95\\%)"
3250,"-313.96","-1221.10","(-2.01\\%)"
3251,"-523.41","-258.06","(-1.59\\%)"
3252,"-632.87","-486.62","(-0.79\\%)"
3253,"-108.49","-798.92","(-0.72\\%)"
3254,"1444.75","-745.31","(+0.52\\%)"
3255,"-11322.26","-2210.86","(-6.24\\%)"
3256,"382.26","210.91","(-0.05\\%)"
3257,"-3271.11","-1053.15","(-3.62\\%)"
3258,"-2655.78","-358.37","(-2.01\\%)"
3259,"-550.48","-867.71","(-3.41\\%)"
3260,"-424.90","-323.97","(-0.79\\%)"
3261,"-167.63","-509.62","(-1.52\\%)"
3262,"668.46","483.36","(+0.22\\%)"
3263,"0.00","0.00","(0.00\\%)"
3264,"-32.47","-791.84","(-2.27\\%)"
3265,"0.00","0.00","(0.00\\%)"
3266,"-1244.08","-654.83","(-2.41\\%)"
3267,"-1406.47","-584.45","(+0.11\\%)"
3268,"-129.30","-121.17","(-0.45\\%)"
3269,"366.25","-716.33","(+1.80\\%)"
3270,"-43.45","-115.82","(+0.02\\%)"
3271,"1321.52","-344.85","(+4.24\\%)"
3272,"1058.47","-871.56","(+5.04\\%)"
3273,"-1117.50","-1252.13","(-1.95\\%)"
3274,"-313.96","-1221.10","(-2.01\\%)"
3275,"68.35","-474.95","(+2.85\\%)"
3276,"-632.87","-486.62","(-0.79\\%)"
3277,"-108.49","-798.92","(-0.72\\%)"
3278,"1444.75","-745.31","(+0.52\\%)"
3279,"-3090.23","-223.75","(-0.88\\%)"
3280,"-11322.26","-2210.86","(-6.24\\%)"
3281,"-3271.11","-1053.15","(-3.62\\%)"
3282,"-2655.78","-358.37","(-2.01\\%)"
3283,"0.00","0.00","(0.00\\%)"
3284,"-550.48","-867.71","(-3.41\\%)"
3285,"-167.63","-509.62","(-1.52\\%)"
3286,"-203.63","-146.88","(+0.46\\%)"
3287,"0.00","0.00","(0.00\\%)"
3288,"-32.47","-791.84","(-2.27\\%)"
3289,"0.00","0.00","(0.00\\%)"
3290,"-2799.29","-732.21","(-1.13\\%)"
3291,"-1406.47","-584.45","(+0.11\\%)"
3292,"-129.30","-121.17","(-0.45\\%)"
3293,"366.25","-716.33","(+1.80\\%)"
3294,"-673.10","382.77","(-0.59\\%)"
3295,"1321.52","-344.85","(+4.24\\%)"
3296,"1058.47","-871.56","(+5.04\\%)"
3297,"-1117.50","-1252.13","(-1.95\\%)"
3298,"-831.63","-929.55","(-2.42\\%)"
3299,"-313.96","-1221.10","(-2.01\\%)"
3300,"-632.87","-486.62","(-0.79\\%)"
3301,"-108.49","-798.92","(-0.72\\%)"
3302,"-3448.28","-280.81","(-0.69\\%)"
3303,"1444.75","-745.31","(+0.52\\%)"
3304,"-11322.26","-2210.86","(-6.24\\%)"
3305,"-3271.11","-1053.15","(-3.62\\%)"
3306,"-343.84","-745.96","(-2.21\\%)"
3307,"-2655.78","-358.37","(-2.01\\%)"
3308,"-550.48","-867.71","(-3.41\\%)"
3309,"-358.94","-785.06","(-0.88\\%)"
3310,"-167.63","-509.62","(-1.52\\%)"
3311,"0.00","0.00","(0.00\\%)"
3312,"-32.47","-791.84","(-2.27\\%)"
3313,"-1670.59","-717.22","(-2.48\\%)"
3314,"0.00","0.00","(0.00\\%)"
3315,"-1406.47","-584.45","(+0.11\\%)"
3316,"-129.30","-121.17","(-0.45\\%)"
3317,"-69.92","-566.70","(-0.59\\%)"
3318,"366.25","-716.33","(+1.80\\%)"
3319,"1321.52","-344.85","(+4.24\\%)"
3320,"1058.47","-871.56","(+5.04\\%)"
3321,"0.00","0.00","(0.00\\%)"
3322,"-1117.50","-1252.13","(-1.95\\%)"
3323,"-313.96","-1221.10","(-2.01\\%)"
3324,"-632.87","-486.62","(-0.79\\%)"
3325,"-108.49","-798.92","(-0.72\\%)"
3326,"-132.74","-706.86","(-1.62\\%)"
3327,"1444.75","-745.31","(+0.52\\%)"
3328,"-11322.26","-2210.86","(-6.24\\%)"
3329,"-926.89","-627.67","(-0.57\\%)"
3330,"-3271.11","-1053.15","(-3.62\\%)"
3331,"-2655.78","-358.37","(-2.01\\%)"
3332,"-550.48","-867.71","(-3.41\\%)"
3333,"-5721.72","-59.69","(-1.72\\%)"
3334,"-167.63","-509.62","(-1.52\\%)"
3335,"0.00","0.00","(0.00\\%)"
3336,"-2533.59","-1376.96","(-2.40\\%)"
3337,"-32.47","-791.84","(-2.27\\%)"
3338,"0.00","0.00","(0.00\\%)"
3339,"-1406.47","-584.45","(+0.11\\%)"
3340,"-662.06","323.03","(-1.48\\%)"
3341,"-129.30","-121.17","(-0.45\\%)"
3342,"366.25","-716.33","(+1.80\\%)"
3343,"1321.52","-344.85","(+4.24\\%)"
3344,"49.27","-586.65","(-0.83\\%)"
3345,"1058.47","-871.56","(+5.04\\%)"
3346,"-1117.50","-1252.13","(-1.95\\%)"
3347,"-313.96","-1221.10","(-2.01\\%)"
3348,"-632.87","-486.62","(-0.79\\%)"
3349,"-108.49","-798.92","(-0.72\\%)"
3350,"-1021.75","-948.39","(-1.89\\%)"
3351,"1444.75","-745.31","(+0.52\\%)"
3352,"-11322.26","-2210.86","(-6.24\\%)"
3353,"-3271.11","-1053.15","(-3.62\\%)"
3354,"-2418.79","-1310.84","(-1.07\\%)"
3355,"-2655.78","-358.37","(-2.01\\%)"
3356,"-550.48","-867.71","(-3.41\\%)"
3357,"0.00","0.00","(0.00\\%)"
3358,"-167.63","-509.62","(-1.52\\%)"
3359,"0.00","0.00","(0.00\\%)"
3360,"-32.47","-791.84","(-2.27\\%)"
3361,"598.44","-811.07","(-0.34\\%)"
3362,"0.00","0.00","(0.00\\%)"
3363,"-1406.47","-584.45","(+0.11\\%)"
3364,"-129.30","-121.17","(-0.45\\%)"
3365,"421.00","239.42","(+1.45\\%)"
3366,"366.25","-716.33","(+1.80\\%)"
3367,"1321.52","-344.85","(+4.24\\%)"
3368,"1058.47","-871.56","(+5.04\\%)"
3369,"-755.02","-1606.29","(-7.83\\%)"
3370,"-1117.50","-1252.13","(-1.95\\%)"
3371,"-313.96","-1221.10","(-2.01\\%)"
